Participant,Task,Saccade Count,Total Saccade Duration [ms],Average Saccade Duration [ms],Average Saccade Distance [px]
157,rectangle_java2.jpg,16,78430.635,4901.9146875,165.46284576742048
157,mupliple_choice_rectangle.jpg,26,20334.601999999995,782.1000769230767,91.09544822734324
158,rectangle_java2.jpg,247,51000.53500000007,206.47989878542538,58.78027939422731
158,mupliple_choice_rectangle.jpg,144,33047.573999999986,229.49704166666658,60.501527854445094
158,vehicle_java2.jpg,299,70174.46999999996,234.6972240802674,58.4577527346231
158,mupliple_choice_vehicle.jpg,220,87069.066,395.76848181818184,110.95460193942732
159,vehicle_java2.jpg,94,37373.316999999995,397.5884787234042,73.32336767894331
159,mupliple_choice_vehicle.jpg,11,21046.480000000003,1913.316363636364,207.97255045247292
159,rectangle_java2.jpg,21,24270.48,1155.7371428571428,121.593454795939
159,mupliple_choice_rectangle.jpg,16,13966.903999999999,872.9314999999999,178.65439455956857
15,rectangle_java.jpg,101,43496.24700000002,430.65591089108926,141.64138521378524
15,mupliple_choice_rectangle.jpg,26,12850.693999999998,494.2574615384614,144.75693676453358
15,vehicle_java.jpg,143,68182.216,476.7987132867133,171.00257984180217
15,mupliple_choice_vehicle.jpg,39,13770.967000000002,353.10171794871803,124.99255132958609
160,vehicle_java.jpg,107,90760.31000000003,848.2271962616825,125.35079101283652
160,mupliple_choice_vehicle.jpg,41,28445.63800000001,693.796048780488,167.20576039056309
160,rectangle_java.jpg,141,127986.414,907.7050638297873,131.11025273625378
160,mupliple_choice_rectangle.jpg,22,14242.819000000001,647.4008636363637,184.04968096524524
161,vehicle_python.jpg,133,44159.99200000003,332.0300150375942,106.13821754410785
161,mupliple_choice_vehicle.jpg,72,24130.52,335.1461111111111,89.94705312382825
161,rectangle_python.jpg,45,14871.040999999997,330.4675777777777,79.92933007831193
161,mupliple_choice_rectangle.jpg,28,8907.412000000002,318.1218571428572,147.18988684470312
162,rectangle_java.jpg,131,64423.45899999998,491.78212977099224,119.37703942129913
162,mupliple_choice_rectangle.jpg,21,13295.179999999995,633.1038095238093,184.98457712411042
