Participant,Task,Saccade Count,Total Saccade Duration [ms],Average Saccade Duration [ms]
P327,2,255,113401.4599999999,444.7116078431369
P340,2,159,63365.27999999998,398.52377358490554
P370,2,893,268445.0199999999,300.6103247480402
P372,2,172,70840.20000000007,411.86162790697716
P376,2,214,26342.21999999999,123.09448598130837
P379,2,64,47458.53000000001,741.5395312500002
P382,2,208,151405.73000000024,727.9121634615396
P393,2,568,268752.3100000001,473.1554753521129
P431,2,160,123454.94000000013,771.5933750000008
P435,2,339,133579.92000000036,394.0410619469037
P442,2,281,181875.6199999999,647.2441992882559
P459,2,21,40857.18,1945.58
P490,2,34,29391.94,864.4688235294117
P523,2,265,127615.98000000013,481.5697358490571
P539,2,455,302069.56,663.8891428571428
P548,2,224,88467.12000000004,394.94250000000017
P561,2,611,217590.5099999999,356.12194762684106
P604,2,130,50737.12000000009,390.28553846153915
P606,2,116,48844.25,421.0711206896552
P620,2,538,188843.19000000032,351.0096468401493
P623,2,95,29408.600000000006,309.56421052631583
P627,2,128,56701.280000000035,442.9787500000003
P637,2,93,61308.790000000015,659.234301075269
P641,2,327,140300.28999999983,429.0528746177365
P709,2,136,74770.76999999997,549.7850735294115
P718,2,146,69170.44999999992,473.77020547945153
P722,2,72,34989.95999999998,485.97166666666635
P742,2,85,56107.43999999999,660.0875294117645
P763,2,597,273280.74000000017,457.7566834170857
P783,2,206,89979.34999999996,436.7929611650484
P785,2,346,212548.99000000008,614.3034393063587
P797,2,331,145182.19,438.61688821752267
P821,2,92,30871.04000000003,335.554782608696
P825,2,439,101029.74000000009,230.13608200455602
P831,2,67,62745.14000000002,936.494626865672
P855,2,210,103740.10999999994,494.00052380952354
P867,2,180,47728.35999999991,265.15755555555506
P876,2,50,59044.38000000002,1180.8876000000005
P901,2,43,37417.58000000001,870.1762790697677
P906,2,555,306879.2600000002,552.9356036036039
P920,2,577,212798.89000000022,368.8022357019068
P932,2,251,196437.36999999982,782.619003984063
P952,2,189,135750.85000000006,718.2584656084659
P963,2,226,209369.74999999977,926.4148230088485
P108,3,339,251842.58000000002,742.8984660766962
P164,3,549,183738.00000000026,334.67759562841576
